model-1587409902,1587409910.985,0.51,0.2499,0.43,0.2645,0
model-1587409902,1587409911.05,0.55,0.2479,0.57,0.2484,0
model-1587409902,1587409911.114,0.43,0.2536,0.43,0.2574,0
model-1587409902,1587409911.176,0.5,0.2518,0.43,0.2542,0
model-1587409902,1587409911.237,0.52,0.2492,0.43,0.2529,0
model-1587409902,1587409911.295,0.55,0.2482,0.43,0.2544,0
model-1587409902,1587409911.352,0.44,0.2539,0.43,0.2519,0
model-1587409902,1587409911.408,0.41,0.2522,0.46,0.2501,0
model-1587409902,1587409911.465,0.46,0.2502,0.56,0.2498,0
model-1587409902,1587409911.521,0.43,0.2506,0.48,0.2501,0
model-1587409902,1587409911.578,0.45,0.25,0.43,0.2505,0
model-1587409902,1587409911.636,0.49,0.2501,0.43,0.2507,0
model-1587409902,1587409911.694,0.49,0.25,0.43,0.2507,0
model-1587409902,1587409911.75,0.51,0.2498,0.43,0.2507,0
model-1587409902,1587409911.807,0.54,0.2495,0.43,0.2511,0
model-1587409902,1587409911.864,0.53,0.2493,0.43,0.2519,0
model-1587409902,1587409911.921,0.46,0.2509,0.43,0.252,0
model-1587409902,1587409911.977,0.52,0.2491,0.43,0.2522,0
model-1587409902,1587409912.034,0.46,0.2514,0.43,0.2515,0
model-1587409902,1587409912.091,0.56,0.2479,0.43,0.2518,0
model-1587409902,1587409912.149,0.57,0.2475,0.43,0.2534,0
model-1587409902,1587409912.205,0.51,0.2492,0.43,0.2546,0
model-1587409902,1587409912.262,0.48,0.2519,0.43,0.2543,0
model-1587409902,1587409912.319,0.56,0.246,0.43,0.2548,0
model-1587409902,1587409912.375,0.41,0.2565,0.43,0.2524,0
model-1587409902,1587409912.432,0.56,0.2462,0.43,0.2511,0
model-1587409902,1587409912.49,0.44,0.2522,0.52,0.2497,0
model-1587409902,1587409912.547,0.56,0.2486,0.6,0.2492,0
model-1587409902,1587409912.604,0.51,0.2495,0.61,0.249,0
model-1587409902,1587409912.661,0.59,0.2491,0.6,0.2487,0
model-1587409902,1587409912.718,0.57,0.2491,0.58,0.2483,0
model-1587409902,1587409912.775,0.61,0.2477,0.57,0.2477,0
model-1587409902,1587409912.831,0.59,0.2479,0.58,0.2471,0
model-1587409902,1587409912.888,0.52,0.2481,0.62,0.2467,0
model-1587409902,1587409912.944,0.56,0.247,0.55,0.2481,0
model-1587409902,1587409913.002,0.59,0.2472,0.6,0.2468,0
model-1587409902,1587409913.059,0.61,0.2463,0.64,0.2451,0
model-1587409902,1587409913.115,0.54,0.2496,0.63,0.2444,0
model-1587409902,1587409913.173,0.6,0.2436,0.63,0.2432,0
model-1587409902,1587409913.229,0.58,0.2434,0.65,0.2411,0
model-1587409902,1587409913.286,0.55,0.2443,0.49,0.2487,0
model-1587409902,1587409913.342,0.49,0.2502,0.45,0.2556,0
model-1587409902,1587409913.399,0.46,0.2566,0.46,0.2551,0
model-1587409902,1587409913.457,0.51,0.2532,0.53,0.2475,0
model-1587409902,1587409913.513,0.58,0.243,0.63,0.238,0
model-1587409902,1587409913.569,0.43,0.2682,0.57,0.2432,0
model-1587409902,1587409913.627,0.55,0.2428,0.48,0.2491,0
model-1587409902,1587409913.684,0.51,0.2497,0.46,0.25,0
model-1587409902,1587409913.741,0.58,0.2419,0.46,0.2502,0
model-1587409902,1587409913.799,0.5,0.2489,0.46,0.2502,0
model-1587409902,1587409913.855,0.58,0.2412,0.5,0.2485,0
model-1587409902,1587409913.912,0.56,0.2435,0.54,0.2446,0
model-1587409902,1587409913.97,0.64,0.2389,0.6,0.2402,0
model-1587409902,1587409914.029,0.47,0.2459,0.63,0.2379,0
model-1587409902,1587409914.087,0.55,0.2523,0.65,0.2374,0
model-1587409902,1587409914.149,0.57,0.2478,0.63,0.2378,0
model-1587409902,1587409914.207,0.55,0.2396,0.55,0.2408,0
model-1587409902,1587409914.264,0.65,0.2368,0.52,0.2457,0
model-1587409902,1587409914.321,0.57,0.2375,0.49,0.2501,0
model-1587409902,1587409914.379,0.52,0.2444,0.49,0.2517,0
model-1587409902,1587409914.438,0.58,0.2409,0.49,0.2487,0
model-1587409902,1587409914.497,0.57,0.2495,0.55,0.243,0
model-1587409902,1587409914.555,0.63,0.2366,0.57,0.2443,0
model-1587409902,1587409914.614,0.55,0.2417,0.5,0.248,0
model-1587409902,1587409914.671,0.51,0.2484,0.57,0.2391,0
model-1587409902,1587409914.728,0.72,0.2261,0.62,0.2323,0
model-1587409902,1587409914.786,0.56,0.2448,0.62,0.2322,0
model-1587409902,1587409914.844,0.65,0.2275,0.63,0.2325,0
model-1587409902,1587409914.901,0.64,0.231,0.58,0.2354,0
model-1587409902,1587409914.957,0.58,0.2429,0.51,0.2531,0
model-1587409902,1587409915.014,0.59,0.2391,0.52,0.2569,0
model-1587409902,1587409915.074,0.58,0.2467,0.55,0.2463,0
model-1587409902,1587409915.133,0.68,0.2186,0.58,0.2382,0
model-1587409902,1587409915.189,0.57,0.2416,0.63,0.2307,0
model-1587409902,1587409915.247,0.6,0.2345,0.63,0.2289,0
model-1587409902,1587409915.304,0.54,0.2546,0.64,0.2303,0
model-1587409902,1587409915.362,0.62,0.2265,0.56,0.2399,0
model-1587409902,1587409915.42,0.55,0.2455,0.56,0.2475,0
model-1587409902,1587409915.478,0.6,0.2382,0.56,0.2428,0
model-1587409902,1587409915.538,0.52,0.2593,0.62,0.2334,0
model-1587409902,1587409915.596,0.65,0.227,0.62,0.23,0
model-1587409902,1587409915.654,0.66,0.2231,0.6,0.2302,0
model-1587409902,1587409915.712,0.57,0.237,0.6,0.2302,0
model-1587409902,1587409915.769,0.5,0.2633,0.62,0.2311,0
model-1587409902,1587409915.827,0.55,0.2437,0.59,0.2377,0
model-1587409902,1587409915.883,0.53,0.2577,0.57,0.2376,0
model-1587409902,1587409915.94,0.61,0.2378,0.58,0.2377,0
model-1587409902,1587409915.996,0.57,0.2419,0.62,0.2332,0
model-1587409902,1587409916.054,0.63,0.2323,0.61,0.2315,0
model-1587409902,1587409916.111,0.52,0.2487,0.6,0.2316,0
model-1587409902,1587409916.167,0.56,0.2443,0.59,0.2317,0
model-1587409902,1587409916.223,0.55,0.2413,0.58,0.2325,0
model-1587409902,1587409916.281,0.6,0.2442,0.64,0.2353,0
model-1587409902,1587409916.338,0.66,0.2282,0.61,0.2363,0
model-1587409902,1587409916.394,0.58,0.2343,0.61,0.2359,0
model-1587409902,1587409916.451,0.64,0.2213,0.63,0.2335,0
model-1587409902,1587409916.508,0.63,0.2358,0.62,0.2348,0
model-1587409902,1587409916.564,0.68,0.2192,0.55,0.2372,0
model-1587409902,1587409916.622,0.51,0.2557,0.56,0.2403,0
model-1587409902,1587409916.679,0.58,0.2324,0.56,0.2405,0
model-1587409902,1587409916.735,0.56,0.244,0.54,0.2418,0
model-1587409902,1587409916.792,0.59,0.237,0.57,0.2391,0
model-1587409902,1587409916.849,0.7,0.2195,0.62,0.2341,0
model-1587409902,1587409916.906,0.54,0.2493,0.59,0.2339,0
model-1587409902,1587409916.962,0.52,0.2563,0.6,0.2346,0
model-1587409902,1587409917.019,0.47,0.2671,0.63,0.2349,0
model-1587409902,1587409917.075,0.54,0.2467,0.54,0.2425,0
model-1587409902,1587409917.133,0.68,0.2266,0.54,0.2453,0
model-1587409902,1587409917.189,0.59,0.2399,0.53,0.2491,0
model-1587409902,1587409917.245,0.57,0.2362,0.53,0.2482,0
model-1587409902,1587409917.302,0.61,0.2328,0.53,0.2455,0
model-1587409902,1587409917.359,0.57,0.239,0.55,0.2388,0
model-1587409902,1587409917.416,0.63,0.2286,0.58,0.2315,0
model-1587409902,1587409917.473,0.58,0.2316,0.6,0.2341,0
model-1587409902,1587409917.53,0.52,0.2488,0.62,0.2333,0
model-1587409902,1587409917.586,0.57,0.2415,0.56,0.2307,0
model-1587409902,1587409917.643,0.57,0.2283,0.6,0.2362,0
model-1587409902,1587409917.699,0.63,0.2329,0.54,0.2451,0
